Date,Open,High,Low,Close,Volume
2023/3/10,32.65,32.65,31.3,32.4,67.33M
2023/3/13,32.95,33.6,32.25,33.25,29.35M
2023/3/14,33.1,33.5,30.45,30.95,19.87M
2023/3/15,31.25,31.6,30.75,31,11.58M
2023/3/16,31.6,32.7,31.25,31.75,14.06M
2023/3/17,32.5,33.8,32.45,33.45,13.98M
2023/3/20,34.5,35.35,33.6,34,21.33M
2023/3/21,35.45,37.85,35.15,37.75,30.01M
2023/3/22,38.6,39.65,38.25,39,17.83M
2023/3/23,38.2,40.25,37.65,40.15,16.57M
2023/3/24,39.3,39.3,38.35,39.05,13.98M
2023/3/27,38.3,39.3,37.75,38.1,10.53M
2023/3/28,39,40.2,38.1,39.85,16.96M
2023/3/29,40.9,41.75,40.2,41.3,21.49M
2023/3/30,43.1,44.6,42.35,44.4,27.25M
2023/3/31,44.4,44.8,43.25,43.75,11.96M
2023/4/3,43.75,44.6,42.95,44.35,9.00M
2023/4/4,43.15,43.15,40.7,41.45,14.95M
2023/4/6,39.6,40.75,39.4,40.35,10.03M
2023/4/11,41.6,42.25,40.6,41.3,8.29M
2023/4/12,42.2,42.2,40.2,40.4,5.91M
2023/4/13,39.15,39.9,38.45,39.8,5.72M
2023/4/14,39.7,40.2,38.65,39.1,7.52M
2023/4/17,39.1,44.6,39,44,22.21M
2023/4/18,44.1,46.9,43.55,43.65,21.47M
2023/4/19,43.9,44.05,40.55,41,17.24M
2023/4/20,38.9,38.9,37.3,37.4,18.19M
2023/4/21,37,37.5,35.9,36.25,9.75M
2023/4/24,36.8,37.5,35.9,36.85,8.75M
2023/4/25,36.95,37,35.5,35.95,7.83M
2023/4/26,35.2,37.15,35.1,36.55,15.30M
2023/4/27,36.55,37.4,35.6,36.55,8.63M
2023/4/28,37.95,38.45,37.35,37.6,7.93M
2023/5/2,38.95,39.55,37.4,38.55,6.70M
2023/5/3,38.45,38.45,37.25,38.3,3.30M
2023/5/4,37.95,38.85,37.7,38.2,5.63M
2023/5/5,39.75,40.3,39.3,39.65,12.42M
2023/5/8,40.9,42.3,40.6,41.4,10.71M
2023/5/9,41.45,41.5,38.95,39.3,10.73M
2023/5/10,39.3,40.05,38.2,39.3,8.46M
2023/5/11,40.1,40.7,39.45,40.5,10.83M
2023/5/12,41.45,41.6,38.8,39.35,11.68M
2023/5/15,38.4,39.1,37.25,38.8,6.97M
2023/5/16,38.75,38.75,37.5,37.85,5.61M
2023/5/17,37.5,37.65,36.25,36.5,7.39M
2023/5/18,37.2,37.4,36.1,36.25,10.50M
2023/5/19,36,36.1,35.05,35.55,12.58M
2023/5/22,35.5,37.5,35.5,36.65,13.55M
2023/5/23,37,37.1,35.95,36.15,6.08M
2023/5/24,36.1,36.1,34.3,34.55,9.56M
2023/5/25,33,33,31.25,31.35,28.17M
2023/5/29,31.45,31.95,30.35,30.55,13.95M
2023/5/30,30.9,31.6,30.55,31.35,8.77M
2023/5/31,30.8,31.2,30.5,31.05,19.12M
2023/6/1,31,31.5,30.3,30.4,10.63M
2023/6/2,31.5,32.95,31,32.8,18.53M
2023/6/5,32.6,33.35,32.05,33.25,9.50M
2023/6/6,33.25,34.9,32.95,33.85,10.99M
2023/6/7,34,34.55,33.2,33.75,8.67M
2023/6/8,33.15,33.45,32.6,32.8,7.26M
2023/6/9,33.5,35,32.65,34.55,17.75M
2023/6/12,35,38.95,35,38.4,34.20M
2023/6/13,39.2,39.9,38.5,39.8,19.76M
2023/6/14,40.05,43.3,39.85,41.6,27.28M
2023/6/15,42.3,43.6,42,43.3,23.39M
2023/6/16,45,45.9,44.05,45.1,23.85M
2023/6/19,44.85,46.7,44.45,46.3,15.42M
2023/6/20,46.3,46.7,42.2,42.55,21.31M
2023/6/21,42.1,44.65,42.05,43.5,16.03M
2023/6/23,41.5,41.65,38.75,39.6,7.88M
2023/6/26,39.6,42.1,39.4,40.25,15.71M
2023/6/27,40.6,41.05,39.55,40.25,9.62M
2023/6/28,42.6,45.25,41.9,44.75,17.67M
2023/6/29,46,47.35,44.8,45.3,16.19M
2023/6/30,46.2,52.5,46.2,50,33.12M
2023/7/3,53.05,59,52.35,58.25,38.75M
2023/7/4,55.6,56,53.35,54.45,20.81M
2023/7/5,54.75,56.55,53.65,55.1,16.85M
2023/7/6,57,58.8,55.55,57.6,23.33M
2023/7/7,55.85,56.55,54.3,54.6,14.44M
2023/7/10,54.9,57,52.45,53.4,13.10M
2023/7/11,55.5,58.85,54.15,58.15,22.22M
2023/7/12,58.9,63.2,58.1,59.6,20.63M
2023/7/13,60.45,60.9,57.6,58.35,15.41M
2023/7/14,55.85,57.1,53.85,56.5,14.73M
2023/7/18,56.45,58.75,55.05,57.05,17.35M
2023/7/19,57,57.8,54.5,57.2,12.06M
2023/7/20,59,60.8,57.35,57.55,13.44M
2023/7/21,58,60.1,57,58.35,12.07M
2023/7/24,56.8,59.4,56.3,57.65,9.15M
2023/7/25,62.35,65.75,62.35,65,23.58M
2023/7/26,61.9,61.9,59.65,60.5,17.51M
2023/7/27,69.55,81.45,69.55,81,65.29M
2023/7/28,80.7,86.05,79,85.1,28.70M
2023/7/31,94.9,96.3,85.85,86.75,36.23M
2023/8/1,81.7,86.15,80.75,82.7,20.68M
2023/8/2,79.8,79.8,68.05,70.6,63.66M
2023/8/3,73,75,71.85,73.4,26.19M
2023/8/4,76.5,77.4,72.05,74.95,18.49M
2023/8/7,71.75,75.4,71.05,74.65,10.02M
2023/8/8,73.5,73.9,71.2,71.7,10.00M
2023/8/9,70.1,70.55,68.3,69.1,15.36M
2023/8/10,66.75,68.25,65.85,67.9,13.51M
2023/8/11,66.65,66.8,64.8,66.1,11.40M
2023/8/14,63.4,64.6,61,64.1,19.32M
2023/8/15,64.25,66.55,63.75,64.85,14.38M
2023/8/16,63.7,63.85,62.35,62.55,8.15M
2023/8/17,61.6,67,60.8,65.3,16.04M
2023/8/18,62.85,63.45,60.65,61,17.46M
2023/8/21,59.65,64.35,58.9,62,23.73M
2023/8/22,65.8,66.1,62.85,65.1,19.85M
2023/8/23,63.25,63.45,61.75,62.45,11.76M
2023/8/24,63.5,65.75,62.45,65.5,15.81M
2023/8/25,64.2,66.6,64,65.1,13.92M
2023/8/28,74.3,75.8,71.05,72.2,32.25M
2023/8/29,72.9,75.9,71,74.3,20.86M
2023/8/30,75.5,76.6,72.3,73.05,17.10M
2023/8/31,74.05,75.2,72.5,73.55,13.86M
2023/9/4,73.95,76.95,73.4,75.3,16.99M
2023/9/5,76.25,76.25,73.7,73.85,9.64M
2023/9/6,73.75,73.85,70.75,73.3,8.85M
2023/9/7,73.5,75,72.8,73.1,7.01M
2023/9/11,68.7,72.55,68.4,71.75,12.26M
2023/9/12,73.25,75.5,72.1,72.8,11.95M
2023/9/13,73.15,73.5,70.35,71,7.44M
2023/9/14,71.6,72.4,69.45,71.25,7.16M
2023/9/15,72,74.3,70.6,72.8,8.40M
2023/9/18,72.35,73.45,71.5,72,5.84M
2023/9/19,72,72.6,70.5,72.15,5.38M
2023/9/20,69.45,69.6,66.75,68.1,18.77M
2023/9/21,64.6,65.4,63.3,63.4,18.77M
2023/9/22,62.2,67.6,62.15,66.9,14.91M
2023/9/25,65.35,68.2,65.25,65.7,14.22M
2023/9/26,65.75,66.05,62.85,63.6,11.28M
2023/9/27,63.6,65.4,62.7,63.9,8.11M
2023/9/28,65,65.9,64.1,64.55,7.80M
2023/9/29,67.75,70.9,67.1,69.95,7.34M
2023/10/3,70.2,70.55,67.95,69.5,4.71M
2023/10/4,67.95,68.15,66.35,66.8,5.52M
2023/10/5,70.05,71.7,69.65,70,5.32M
2023/10/6,69.5,71.35,69.2,69.7,3.06M
2023/10/9,69.7,70.9,66.75,67.55,9.63M
2023/10/10,64.4,65.8,63.65,64.45,11.02M
2023/10/11,66.4,67.15,65.6,66.2,6.43M
2023/10/12,66.5,68.1,66.2,67.1,6.88M
2023/10/13,64.15,65.65,64.15,64.7,8.68M
2023/10/16,64.15,64.3,60.85,61.6,12.42M
2023/10/17,60.1,60.45,58.9,59.6,9.24M
2023/10/18,59.9,60.9,58.25,58.8,7.60M
2023/10/19,53.8,54.15,52.65,53.55,17.83M
2023/10/20,53.55,55,53.2,53.65,9.12M
2023/10/24,54.95,55.85,53.35,55.15,11.24M
2023/10/25,59.45,60.8,57.2,57.85,16.92M
2023/10/26,55.85,57,55.25,56.8,10.97M
2023/10/27,58,60.1,57.5,59.65,11.38M
2023/10/30,57.85,60,57.8,59.35,10.45M
2023/10/31,58.55,58.85,57.25,57.8,7.88M
2023/11/1,57.3,58.5,56.1,57.5,8.79M
2023/11/2,60.6,63.5,60.6,61.85,16.10M
2023/11/3,64.85,65.75,63.1,64.65,15.98M
2023/11/6,66.65,70.3,66.6,69.7,15.14M
2023/11/7,68,70.1,67.5,69.05,10.31M
2023/11/8,66.8,67.1,62.95,63.95,17.74M
2023/11/9,63.3,65.5,62.65,64.8,10.17M
2023/11/10,62.05,62.65,60.4,60.65,15.69M
2023/11/13,60.25,61.15,59.55,60.95,8.98M
2023/11/14,61.9,63.5,61.8,63,10.28M
2023/11/15,66.8,67.85,65.7,67.8,15.94M
2023/11/16,66.5,67.05,64.55,65.15,12.01M
2023/11/17,64.1,65.45,62.45,65.15,10.38M
2023/11/20,66.8,68.9,65.6,68.45,18.09M
2023/11/21,70.8,73.2,69.65,69.95,18.20M
2023/11/22,69,69.2,67.5,68.3,9.28M
2023/11/23,68.85,72.8,68.55,72.75,13.47M
2023/11/24,71.6,74.3,71.05,72.25,13.07M
2023/11/27,72.55,73,67.25,70.75,14.20M
2023/11/28,70,71.1,69.05,69.65,8.67M
2023/11/29,71.25,71.25,66.9,67.65,14.44M
2023/11/30,67.65,67.85,64.3,67.2,21.36M
2023/12/1,65.5,65.5,63.35,63.75,21.30M
2023/12/4,63.2,63.65,61.7,62.2,13.90M
2023/12/5,62.35,63.85,62,63.25,11.76M
2023/12/6,63.4,65.45,62,64.35,11.01M
2023/12/7,65.1,65.5,63.4,64.1,6.88M
2023/12/8,63.1,63.15,59.85,60.4,12.86M
2023/12/11,59,61.3,58.2,60.4,10.46M
2023/12/12,61.6,63.7,61.55,62.95,9.06M
2023/12/13,60.85,61.1,58.35,59,12.88M
2023/12/14,60.5,61,57.95,58.85,9.29M
2023/12/15,60.7,61.95,59.2,59.3,15.93M
2023/12/18,56.15,57,55.05,55.35,17.08M
2023/12/19,56.1,57,55.4,56.9,12.62M
2023/12/20,57.55,58.45,56.35,56.7,5.40M
2023/12/21,55.4,55.8,54.25,54.7,7.31M
2023/12/22,55.2,55.35,52.65,53.45,9.01M
2023/12/27,54.7,55.05,52.9,53.75,10.32M
2023/12/28,52.95,55.5,52.5,54.3,10.92M
2023/12/29,55.65,57.05,55.55,56.7,9.74M
2024/1/2,59.05,60.95,55.8,56.4,13.35M
2024/1/3,55.35,56.75,54.15,54.95,9.63M
2024/1/4,55.4,55.5,53.3,54.95,7.04M
2024/1/5,53.7,54.6,52.5,52.7,9.30M
2024/1/8,51.85,51.85,47.5,48.6,22.27M
2024/1/9,48.9,49.85,48.65,48.95,8.53M
2024/1/10,48.95,49.55,48,48.45,9.30M
2024/1/11,48.85,50.7,48.35,49.95,6.08M
2024/1/12,47.85,48.45,47,47.35,10.48M
2024/1/15,46.35,46.35,41.95,43,26.21M
2024/1/16,42.95,44.5,42.4,43.05,11.05M
2024/1/17,41.7,41.7,37.65,38.9,32.87M
2024/1/18,39.15,39.5,37.6,38.75,17.98M
2024/1/19,38.55,38.65,36.25,37.2,16.07M
2024/1/22,37.2,37.65,33.8,34.75,20.79M
2024/1/23,36.2,38.25,35.6,37.35,25.02M
2024/1/24,37.85,38.55,35,37.2,21.97M
2024/1/25,35.6,35.95,34.5,35.95,16.29M
2024/1/26,35.65,35.65,34.1,34.4,11.09M
2024/1/29,34.5,35.2,33.65,34.15,11.30M
